,Unnamed: 0,player_id,name,position,college,combine_player_ids,season_played,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_attempts,kick_return_yards,kick_return_touchdowns,punt_return_attempts,punt_return_yards,punt_return_touchdowns,defense_sacks,defense_tackles,defense_tackle_assists,defense_interceptions,defense_interception_yards,defense_interception_touchdowns,defense_safeties,point_after_attempts,point_after_makes,field_goal_attempts,field_goal_makes,punting_attempts,punting_yards,punting_blocked,passing_attempts_average,passing_completions_average,passing_yards_average,passing_rating_average,passing_touchdowns_average,passing_interceptions_average,passing_sacks_average,passing_sacks_yards_lost_average,rushing_attempts_average,rushing_yards_average,rushing_touchdowns_average,receiving targets_average,receiving_receptions_average,receiving_yards_average,receiving_touchdowns_average,kick_return_attempts_average,kick_return_yards_average,kick_return_touchdowns_average,punt_return_attempts_average,punt_return_yards_average,punt_return_touchdowns_average,defense_sacks_average,defense_tackles_average,defense_tackle_assists_average,defense_interceptions_average,defense_interception_yards_average,defense_interception_touchdowns_average,defense_safeties_average,point_after_attempts_average,point_after_makes_average,field_goal_attempts_average,field_goal_makes_average,punting_attempts_average,punting_yards_average,punting_blocked_average,heights,weights,hands,age,arm,40_dash,vertical,bench,shuttle,broad,3_cone,60_shuttle,wonderlic
1114,4419,14660,Darnell McDonald,WR,Kansas St.,19990240,1,0,0,0,0,0,0,0,0,0,0,0,14,9,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.9,9.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,202,9.290307692,22.90684932,31.66167364,4.74,34,14.91558442,4.24,108,7.27,11.49209302,
1115,4427,8219,Jeff Graham,WR,Ohio St.,19910046,11,0,0,0,0,0,0,0,0,1,3,0,1044,557,8409,31,4,60,0,50,377,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006134969,0.018404908,0,6.404907975,3.417177914,51.58895706,0.190184049,0.024539877,0.36809816,0,0.306748466,2.312883436,0.006134969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.1,198,10,22.19452055,32,4.62,35,14.91558442,4.29,118,6.993472585,11.62,
1116,4430,3423,Don Carey,DB,Norfolk St.,20090177,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,41,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.041237113,0.422680412,0.030927835,0.597938144,0,0,0,0,0,0,0,0,0,71.25,192,9.180858586,22.20821918,31.42202778,4.49,35.15636822,18,4.190455213,118.9731801,7.042195122,11.4970684,
1117,4433,10096,Jabari Holloway,TE,Notre Dame,20010119,2,0,0,0,0,0,0,0,0,0,0,0,20,15,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769,0.576923077,6.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.4,253,9.9425,22.35616438,33.89451923,4.94,38.5,20,4.4,113,7.14,11.598,
1118,4435,11501,Ben Jones,C,Georgia,20120099,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031914894,0,0,0,0,0,0,0,0,0,0,0,0,74.63,303,9.818837209,22.83287671,32.21309524,5.35,30.5,29,4.74,105,7.95,11.62,
1119,4436,11314,Johnny Johnson,RB,San Jose St.,19900169,5,0,1,0,0,0,1,0,0,1046,4078,21,159,177,1513,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013888889,0,0,0,0.013888889,0,0,14.52777778,56.63888889,0.291666667,2.208333333,2.458333333,21.01388889,0.069444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,212,9.38,21.87671233,32,4.64,33.5,18.69061876,4.18,118,7.1466171,11.56,
1120,4439,5725,Jordon Dizon,LB,Colorado,20080045,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035714286,0.857142857,0.714285714,0,0,0,0,0,0,0,0,0,0,0,71.88,229,9.575971731,22.29041096,32.34203774,4.73,30.5,21.21631206,4.35,118,7.01,11.87096618,
1121,4440,1211,Brett Basanez,QB,Northwestern,20060452,1,6,11,56,30.9,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,56,30.9,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.25,220,9.481704545,22.98356164,31.77426829,4.79,34,14.05263158,4.22,114,6.75,12.07,
1122,4441,22538,Desmond Trufant,CB,Washington,20130022,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,191,39,9,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,2.808823529,0.573529412,0.132352941,1.044117647,0,0,0,0,0,0,0,0,0,71.63,190,9.180858586,22.63835616,31.42202778,4.38,37.5,16,3.85,125,7.042195122,11.4970684,22
1123,4452,6615,Thomas Everett,DB,Baylor,19870094,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,2,0,0,25,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044117647,0.176470588,0,0.014705882,0,0,0.183823529,2.330882353,0,0,0,0,0,0,0,0,0,68,177,9.5,22.44657534,30,4.56,35.15636822,11,4.190455213,118.9731801,7.042195122,11.4970684,
